,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
64,1939022,9429033419497,02 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1939022,1939022,,"12 Fernbank Lane, Greenhithe, Auckland, 0632
, New Zealand","12 Fernbank Lane, Greenhithe, Auckland, 0632
, New Zealand",,,,
65,7523176,9429047501690,11 Jun 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7523176,7523176,,"62 Kinross Street, Blockhouse Bay, Auckland, 0600
, New Zealand","62 Kinross Street, Blockhouse Bay, Auckland, 0600
, New Zealand",,,,
66,1470576,9429035608370,19 Dec 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1470576,1470576,,"39 Kings Crescent, Lower Hutt
, New Zealand","39 Kings Crescent, Lower Hutt
, New Zealand",,,,
67,2114313,9429032818093,04 Apr 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2114313,2114313,,"414c Whitford-maraetai Road, Rd 1, Howick, 2571
, New Zealand","414c Whitford-maraetai Road, Rd 1, Howick, 2571
, New Zealand",,,,
68,8644527,9429051171919,08 Mar 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8644527,8644527,,"Tauseef Ahmed, 13 Alaunia Place, Lynfield, Auckland, 1042
, New Zealand","Tauseef Ahmed, 13 Alaunia Place, Lynfield, Auckland, 1042
, New Zealand",,,,
69,2387935,9429031701532,19 Jan 2010,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2387935,2387935,,"7 San Luis Place, Howick, Auckland
, New Zealand","7 San Luis Place, Howick, Auckland
, New Zealand",,,,
70,1460579,9429035644248,26 Nov 2003,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1460579,1460579,,"4x4 Adventures, Lake Sumner Road, Hawarden, North Canterbury
, New Zealand","4x4 Adventures, Lake Sumner Road, Hawarden, North Canterbury
, New Zealand",,,,
71,889360,9429037935689,17 Dec 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco889360,889360,,"C/-mcdonald Vague, Level 4, 143 Nelson Street, Auckland
, New Zealand","C/-mcdonald Vague, Level 4, 143 Nelson Street, Auckland
, New Zealand",,,,
72,7501676,9429047487567,31 May 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7501676,7501676,,"2 Barrique Road, Kumeu, Kumeu, 0810
, New Zealand","2 Barrique Road, Kumeu, Kumeu, 0810
, New Zealand",,,,
73,1984442,9429033137773,12 Sep 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1984442,1984442,,"55 A Beach Road, Te Atatu Peninsula, Auckland
, New Zealand","55 A Beach Road, Te Atatu Peninsula, Auckland
, New Zealand",,,,
74,3479952,9429031011518,21 Jul 2011,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3479952,3479952,,"45a Verbena Road, Birkdale, Auckland, 0626
, New Zealand","9 Wyvern Place, Glenfield, Auckland, 0629
, New Zealand",,,,
75,1004629,9429037418939,08 Dec 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1004629,1004629,,"108 Station Rd, Huapai, Auckland
, New Zealand","108 Station Rd, Huapai, Auckland
, New Zealand",,,,
76,2206552,9429032405149,11 Feb 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2206552,2206552,,"3/23 Mcdonald Cresent, Ellerslie, Auckland
, New Zealand","3/23 Mcdonald Cresent, Ellerslie, Auckland
, New Zealand",,,,
77,1514399,9429035388500,17 May 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1514399,1514399,,"93b Morrin Road, Panmure, Auckland, 1072
, New Zealand","93b Morrin Road, Panmure, Auckland, 1072
, New Zealand",,,,
78,1597506,9429034971109,28 Jan 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1597506,1597506,,"Level 18, Deloitte Centre, 80 Queen St, Auckland, 1140
, New Zealand","Level 18, Deloitte Centre, 80 Queen St, Auckland, 1140
, New Zealand",,,,
79,3501651,9429030994072,05 Aug 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3501651,3501651,,"26 Queen Street, Waiuku, Waiuku, 2123
, New Zealand","26 Queen Street, Waiuku, Waiuku, 2123
, New Zealand",,,,
80,2194189,9429032464061,03 Dec 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2194189,2194189,,"58 Lauderdale Road, Birkdale, Northshore Auckland
, New Zealand","58 Lauderdale Road, Birkdale, Northshore Auckland
, New Zealand",,,,
81,1540,9429040972473,24 Mar 1925,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1540,1540,,"25 Falcon St, Parnell, Auckland
, New Zealand",,,,,
