,href,company_id,nzbn,company_name
214,javascript:viewCompanyDetails('5100461');,5100461,9429041171561,TAURANGA X LIMITED
215,javascript:viewCompanyDetails('8141834');,8141834,9429048807425,TELCO X LIMITED
216,javascript:viewCompanyDetails('2504233');,2504233,9429031512466,TRANSPORTER X LIMITED
217,javascript:viewCompanyDetails('8250724');,8250724,9429049994155,VERDI X LIMITED
218,javascript:viewCompanyDetails('6967153');,6967153,9429046950697,WELD X LIMITED
219,javascript:viewCompanyDetails('2306350');,2306350,9429032001327,ZONE X LIMITED
220,javascript:viewCompanyDetails('1540688');,1540688,9429035252740,TITCHMO LIMITED
221,javascript:viewCompanyDetails('967497');,967497,9429037545505,WAITING FOR OPPORTUNITY NO.6 LIMITED
222,javascript:viewCompanyDetails('507978');,507978,9429039104670,A T X INTERNATIONAL LIMITED
223,javascript:viewCompanyDetails('855102');,855102,9429038096402,F. X. Z. DEVELOPMENT LIMITED
224,javascript:viewCompanyDetails('353288');,353288,9429039581242,Y W & X X LOO LIMITED
225,javascript:viewCompanyDetails('1656856');,1656856,9429034674246,1 X 1 LIMITED
226,javascript:viewCompanyDetails('2077437');,2077437,9429032973976,10 X NZ LIMITED
227,javascript:viewCompanyDetails('2510591');,2510591,9429031503587,20 X CONTRACTORS LIMITED
228,javascript:viewCompanyDetails('577412');,577412,9429038884153,4 X 2 LIMITED
229,javascript:viewCompanyDetails('1337662');,1337662,9429035912170,4 X FORCE LIMITED
230,javascript:viewCompanyDetails('1786418');,1786418,9429034244111,7 X 7 LIMITED
231,javascript:viewCompanyDetails('1907084');,1907084,9429033621340,8 X 4 LIMITED
232,javascript:viewCompanyDetails('1669848');,1669848,9429034634806,ACCOUNTAX X CHRIS LIMITED
233,javascript:viewCompanyDetails('3237808');,3237808,9429031255608,AIRASIA X NZ LIMITED
234,javascript:viewCompanyDetails('1895434');,1895434,9429033691152,AUTO X PROMOTIONS LIMITED
235,javascript:viewCompanyDetails('921058');,921058,9429037782627,B B X LIMITED
236,javascript:viewCompanyDetails('1227899');,1227899,9429036398553,BARE X SENTIALS LIMITED
237,javascript:viewCompanyDetails('1907087');,1907087,9429033621685,BEACH X 2 LIMITED
238,javascript:viewCompanyDetails('891672');,891672,9429037926090,BIDX LIMITED
239,javascript:viewCompanyDetails('1921549');,1921549,9429033530574,BODY R X LIMITED
240,javascript:viewCompanyDetails('5731191');,5731191,9429041810798,C & X LIMITED
241,javascript:viewCompanyDetails('3888958');,3888958,9429030621602,C X FOOD LIMITED
242,javascript:viewCompanyDetails('1699233');,1699233,9429034527436,C X HOLDINGS LIMITED
243,javascript:viewCompanyDetails('6190749');,6190749,9429045868153,CAP X EQUIPMENT LIMITED
244,javascript:viewCompanyDetails('948370');,948370,9429037647971,COLOUR F X LIMITED
245,javascript:viewCompanyDetails('1561991');,1561991,9429035155072,DECISION X 2004 LIMITED
246,javascript:viewCompanyDetails('6181610');,6181610,9429045847530,DERET X A LIMITED
247,javascript:viewCompanyDetails('1808556');,1808556,9429034150917,DEVELOPMENT X DESIGN LIMITED
248,javascript:viewCompanyDetails('7795356');,7795356,9429047759626,DO GOOD X LIMITED
249,javascript:viewCompanyDetails('4674639');,4674639,9429030042728,DRAGONER X MARKETS LIMITED
250,javascript:viewCompanyDetails('1186817');,1186817,9429036635351,EXTREME X BOARDING LIMITED
251,javascript:viewCompanyDetails('848983');,848983,9429038129988,EYE X (NZ) LIMITED
252,javascript:viewCompanyDetails('8183780');,8183780,9429049292916,FANTASY X CHA LIMITED
253,javascript:viewCompanyDetails('2479290');,2479290,9429031545419,FARR X 3 LIMITED
254,javascript:viewCompanyDetails('8066516');,8066516,9429048489003,GEN X SHOPS LIMITED
255,javascript:viewCompanyDetails('1365175');,1365175,9429035846970,GEN X URBAN LIMITED
256,javascript:viewCompanyDetails('5137801');,5137801,9429041191040,GLOBAL X SYSTEMS LIMITED
257,javascript:viewCompanyDetails('7243296');,7243296,9429047248250,HOME X PROFESSIONALS LIMITED
258,javascript:viewCompanyDetails('9277763');,9277763,9429052359538,INSPIRATION NATION X LIMITED
259,javascript:viewCompanyDetails('1627941');,1627941,9429034799307,J X MEDIA LIMITED
260,javascript:viewCompanyDetails('810510');,810510,9429038311581,JEPSEN X JEPSEN LIMITED
261,javascript:viewCompanyDetails('1911804');,1911804,9429033588445,JJ PROJECT X LIMITED
262,javascript:viewCompanyDetails('1641515');,1641515,9429034730300,JM X 2 LIMITED
263,javascript:viewCompanyDetails('1817432');,1817432,9429034113141,L X INVESTMENTS LIMITED
264,javascript:viewCompanyDetails('1941297');,1941297,9429033403502,L X SERVICES LIMITED
265,javascript:viewCompanyDetails('8756950');,8756950,9429051352448,LABOUR X FORCE LIMITED
266,javascript:viewCompanyDetails('2301402');,2301402,9429032028195,MAD X VENTURES LIMITED
267,javascript:viewCompanyDetails('1114405');,1114405,9429037014445,MADAM X PROPERTIES LIMITED
268,javascript:viewCompanyDetails('591619');,591619,9429038836961,MADAME X PRODUCTIONS LIMITED
269,javascript:viewCompanyDetails('6333732');,6333732,9429046232298,MISFITS X THIEVES LIMITED
270,javascript:viewCompanyDetails('4943500');,4943500,9429041083963,MOCHI X MOCHI LIMITED
271,javascript:viewCompanyDetails('2240849');,2240849,9429032267518,NAKI X PRODUCTIONS LIMITED
272,javascript:viewCompanyDetails('1520499');,1520499,9429035356721,NZ 22 X LIMITED
273,javascript:viewCompanyDetails('3198430');,3198430,9429031305761,OLIVE X NZ LIMITED
274,javascript:viewCompanyDetails('3671753');,3671753,9429030868717,ONE X ONE LIMITED
275,javascript:viewCompanyDetails('1443123');,1443123,9429035674320,ONE X TIME LIMITED
276,javascript:viewCompanyDetails('2305491');,2305491,9429032007930,P & X LIMITED
277,javascript:viewCompanyDetails('1908151');,1908151,9429033611914,PLAN X DESIGN LIMITED
278,javascript:viewCompanyDetails('1479176');,1479176,9429035561163,POLY- X MANUFACTURING LIMITED
279,javascript:viewCompanyDetails('822614');,822614,9429038255250,PROJECT X ANIMATION LIMITED
280,javascript:viewCompanyDetails('5830207');,5830207,9429042022589,PROJECT X TRUSTEE LIMITED
281,javascript:viewCompanyDetails('5691550');,5691550,9429041730669,Q & X LIMITED
282,javascript:viewCompanyDetails('5229301');,5229301,9429041241035,R. X CONSTRUCTION LIMITED
283,javascript:viewCompanyDetails('2178339');,2178339,9429032536379,RED X CONTRACTING LIMITED
284,javascript:viewCompanyDetails('824324');,824324,9429038247309,RED X MARKETING LIMITED
285,javascript:viewCompanyDetails('848765');,848765,9429038129353,REVISION X COMPUTERS LIMITED
286,javascript:viewCompanyDetails('1398766');,1398766,9429035765240,S X DEVELOPMENTS LIMITED
287,javascript:viewCompanyDetails('2018468');,2018468,9429033079356,S X OWNERS LIMITED
288,javascript:viewCompanyDetails('1234541');,1234541,9429036360291,SOVEREIGN X PRODUCTIONS LIMITED
289,javascript:viewCompanyDetails('2497730');,2497730,9429031520706,SPEED X RACING LIMITED
290,javascript:viewCompanyDetails('6012810');,6012810,9429042387329,SPOT X COLLECTIVE LIMITED
291,javascript:viewCompanyDetails('1919732');,1919732,9429033541785,SPOT X FISHING LIMITED
292,javascript:viewCompanyDetails('1949266');,1949266,9429033356655,SPOT X HOLDINGS LIMITED
293,javascript:viewCompanyDetails('8367302');,8367302,9429050552764,STAR X COURIERS LIMITED
294,javascript:viewCompanyDetails('3926578');,3926578,9429030579149,T & X LIMITED
295,javascript:viewCompanyDetails('1302659');,1302659,9429035988458,TAG X BUILT LIMITED
296,javascript:viewCompanyDetails('1670970');,1670970,9429034628829,TEAM DIMENSION X LIMITED
297,javascript:viewCompanyDetails('8130984');,8130984,9429048702935,TEN X CONSTRUCTION LIMITED
298,javascript:viewCompanyDetails('2451082');,2451082,9429031586610,TEN X CONTRACTING LIMITED
299,javascript:viewCompanyDetails('1297842');,1297842,9429036005369,THE X FACTORY LIMITED
300,javascript:viewCompanyDetails('6488832');,6488832,9429046401489,THERMAL X INSULATION LIMITED
301,javascript:viewCompanyDetails('6043908');,6043908,9429042446521,TIMES X TWO LIMITED
302,javascript:viewCompanyDetails('1942177');,1942177,9429033399270,TRIPLE X GIFTS LIMITED
303,javascript:viewCompanyDetails('5741279');,5741279,9429041832783,TRIPLE X MAINTENANCE LIMITED
